compyear,cash and cash equivalents,current assets,total assets,current liabilities,total liabilities,common shares,share capital,total capital,retained earnings,total shareholder's equity,net operating income,cogs,operating income,operating expense,working capital,r&d expense,expected credit impairment (loss) profit - operating expense,operating profit,finance costs,net income before tax,net income before interest and tax,cash flow from operations,cash flow from investing activities,cash flow from financing activities,long-term and short-term borrowings,net liabilities,Tobins Q,financial leverage,operating leverage,interest coverage ratio,roa - comprehensive income,roe - comprehensive income,cash flow adequacy ratio,cash reinvestment ratio,current ratio,quick ratio,interest expense ratio,interest expense ratio (B),total liabilities/total net worth,debt ratio,net worth/assets,long-term funding ratio (A),debt dependency ratio,contingent liabilities to net worth,operating profit/paid-in capital ratio,pre-tax net profit/paid-in capital ratio,retention ratio,dividend payout ratio
82222020,366333.0,841141.0,1434435.0,195415.0,581347.0,685735.0,685735.0,53264.0,114089.0,853088.0,397072.0,364438.0,32634.0,89631.0,645726.0,47605.0,0.0,-56997.0,4812.0,-43455.0,-38643.0,21864.0,-32476.0,51083.0,512144.0,145811.0,1.0,0.92,-0.47,-8.03,-2.62,-4.36,90.23,-0.44,430.44,204.87,-13.51,1.26,68.15,40.53,59.47,224.0,60.03,0.0,-8.31,-6.34,38.185,0.0
82222021,329565.0,761398.0,1295027.0,206506.0,543749.0,685735.0,685735.0,53264.0,12279.0,751278.0,351510.0,381267.0,-29757.0,77512.0,554892.0,32958.0,0.0,-107269.0,4902.0,-103434.0,-98532.0,15418.0,-5494.0,-46692.0,466591.0,137026.0,1.14,0.96,0.36,-20.1,-7.46,-12.69,102.67,0.8,368.71,189.51,-4.95,1.41,72.38,41.99,58.01,219.79,62.11,0.0,-15.64,-15.08,38.185,0.0
82222022,381781.0,830244.0,1351710.0,227282.0,581462.0,685735.0,685735.0,53264.0,31249.0,770248.0,449536.0,397754.0,51782.0,80229.0,602962.0,28748.0,97.0,-28447.0,5913.0,18915.0,24828.0,95257.0,-40628.0,-2413.0,465293.0,83512.0,1.66,0.83,-1.08,4.2,1.43,2.49,129.15,6.15,365.29,195.14,25.01,1.38,75.49,43.02,56.98,237.37,60.41,0.0,-4.15,2.76,100.0,0.0
82492014,1713827.0,3102748.0,5014127.0,1300113.0,1382026.0,1270550.0,1270550.0,677467.0,1061591.0,3632101.0,5374179.0,4652951.0,721228.0,374493.0,1802635.0,112361.0,0.0,346735.0,6367.0,404348.0,410715.0,577059.0,-107974.0,-210210.0,62315.0,-1868247.0,0.64,1.02,2.91,64.51,5.98,8.44,143.05,8.29,238.65,201.58,2.03,0.12,38.05,27.56,72.44,367.82,1.72,0.0,27.29,31.82,21.75,78.25
82492015,1306082.0,2885432.0,4598790.0,969030.0,1030621.0,1270550.0,1270550.0,677467.0,1113340.0,3568169.0,4864840.0,4136055.0,728785.0,414793.0,1916402.0,133212.0,0.0,313992.0,9275.0,442282.0,451557.0,573906.0,92649.0,-303719.0,0.0,-1479282.0,0.61,1.03,3.08,48.69,3.69,4.93,190.49,6.36,297.76,204.42,3.08,0.19,28.88,22.41,77.59,392.99,0.0,0.0,24.71,34.81,22.11,77.89
82492016,610524.0,3041354.0,4612752.0,1144945.0,1198312.0,1270550.0,1270550.0,677467.0,1143166.0,3414440.0,4309299.0,3645096.0,664203.0,366406.0,1896409.0,114327.0,0.0,297797.0,0.0,364891.0,364891.0,302391.0,-625405.0,-228699.0,0.0,-1121046.0,0.58,1.0,2.87,10.555,1.63,2.15,183.83,1.45,265.63,145.96,0.0,0.0,35.1,25.98,74.02,434.3,0.0,0.0,23.44,28.72,21.06,78.94
82492017,779885.0,3168989.0,4596049.0,1131232.0,1191690.0,1270550.0,1270550.0,677467.0,1152065.0,3404359.0,3957862.0,3405903.0,551959.0,338839.0,2037757.0,97398.0,0.0,213120.0,0.0,283688.0,283688.0,487771.0,-54942.0,-203288.0,0.0,-1172213.0,0.72,1.0,3.51,10.555,4.2,5.67,171.4,5.51,280.14,150.65,0.0,0.0,35.0,25.93,74.07,554.56,0.0,0.0,16.77,22.33,3.2,96.8
82492018,773409.0,3466786.0,4634304.0,1284592.0,1396145.0,1270550.0,1270550.0,677467.0,1154222.0,3238159.0,4576761.0,4023893.0,552868.0,326433.0,2182194.0,72233.0,0.0,226435.0,0.0,318188.0,318188.0,429628.0,-207794.0,-203288.0,0.0,-2283522.0,0.55,1.0,3.49,10.555,0.8,1.12,161.99,4.42,269.87,227.45,0.0,0.0,43.12,30.13,69.87,667.06,0.0,0.0,17.82,25.04,19.74,80.26
82492019,1216519.0,3220429.0,4373182.0,920458.0,1075599.0,1270550.0,1270550.0,677467.0,1172756.0,3297583.0,4169494.0,3563507.0,605987.0,337231.0,2299971.0,67059.0,0.0,268756.0,781.0,286000.0,286781.0,431297.0,252512.0,-174246.0,0.0,-2337539.0,0.68,1.0,2.92,367.2,4.99,6.87,163.47,5.5,349.87,311.94,0.42,0.0,32.62,24.6,75.4,888.14,0.0,0.0,21.15,22.51,16.97,83.03
82492020,1884250.0,3193614.0,5244735.0,1865805.0,1900283.0,1270550.0,1270550.0,677467.0,1209832.0,3344452.0,3399884.0,2936375.0,463509.0,301394.0,1327809.0,75707.0,0.0,162115.0,4392.0,263163.0,267555.0,341119.0,-256374.0,582893.0,750000.0,-1453324.0,0.62,1.03,3.7,60.92,4.15,6.0,152.75,3.94,171.17,147.04,2.27,0.1,56.82,36.23,63.77,1138.44,22.43,0.0,12.76,20.71,13.19,86.81
82492021,1441196.0,2675797.0,6732521.0,2725410.0,2761752.0,1490550.0,1490550.0,974247.0,1396626.0,3970769.0,3951319.0,3428050.0,523269.0,323828.0,-49613.0,81557.0,0.0,199441.0,11882.0,225111.0,236993.0,283094.0,-1771481.0,1064759.0,1734800.0,74420.0,0.81,1.06,3.1,19.95,7.43,12.17,102.65,2.16,98.18,77.55,6.38,0.28,69.55,41.02,58.98,1741.66,43.69,0.0,13.38,15.1,-3.06,103.06
82492022,1692222.0,2967629.0,6414246.0,2471247.0,2536482.0,1490550.0,1490550.0,974247.0,1602499.0,3877764.0,4256952.0,3498165.0,758787.0,345510.0,496382.0,84385.0,0.0,413277.0,19370.0,517780.0,537150.0,697342.0,79945.0,-542801.0,1350000.0,-616577.0,0.85,1.05,2.07,27.73,0.81,1.36,131.19,9.47,120.09,104.23,5.16,0.44,65.41,39.54,60.46,2039.7,34.81,0.0,27.73,34.74,25.35,74.65
82612014,385853.0,2232037.0,2664299.0,366663.0,370636.0,1815639.0,1815639.0,333986.0,207298.0,2293663.0,2061113.0,1670136.0,390977.0,233004.0,1865374.0,72656.0,0.0,157973.0,0.0,209748.0,209748.0,278871.0,-856232.0,13336.0,0.0,-1353387.0,1.61,1.0,1.87,10.555,7.09,8.41,240.16,11.1,608.74,504.29,0.0,0.0,16.16,13.91,86.09,848.38,0.0,0.0,8.7,11.55,58.09,41.91
82612015,519067.0,1172150.0,1620788.0,293499.0,293892.0,815808.0,815808.0,329006.0,227205.0,1326896.0,1555624.0,1243073.0,312551.0,216896.0,878651.0,61146.0,0.0,95655.0,2.0,117629.0,117631.0,316629.0,861505.0,-1051882.0,0.0,-551251.0,1.39,1.0,2.32,58815.5,3.79,4.49,388.49,15.56,399.37,294.91,0.0,0.0,22.15,18.13,81.87,489.27,0.0,0.0,11.73,14.42,13.71,86.29
