compyear,cash and cash equivalents,current assets,total assets,current liabilities,total liabilities,common shares,share capital,total capital,retained earnings,total shareholder's equity,net operating income,cogs,operating income,operating expense,working capital,r&d expense,expected credit impairment (loss) profit - operating expense,operating profit,finance costs,net income before tax,net income before interest and tax,cash flow from operations,cash flow from investing activities,cash flow from financing activities,long-term and short-term borrowings,net liabilities,Tobins Q,financial leverage,operating leverage,interest coverage ratio,roa - comprehensive income,roe - comprehensive income,cash flow adequacy ratio,cash reinvestment ratio,current ratio,quick ratio,interest expense ratio,interest expense ratio (B),total liabilities/total net worth,debt ratio,net worth/assets,long-term funding ratio (A),debt dependency ratio,contingent liabilities to net worth,operating profit/paid-in capital ratio,pre-tax net profit/paid-in capital ratio,retention ratio,dividend payout ratio,tcri,cluster
11092023,1.0937678,0.64678377,0.577266817,-0.084306513,-0.244584398,0.819424176,0.820477245,-0.341170398,0.442037055,1.015983366,0.427839267,0.198168025,-0.019738014,-0.194421336,0.26960835,-1.598313375,-0.01293795,0.125997464,-0.930686892,0.152392341,0.130510921,0.028520652,0.071696195,-0.128026621,-1.938877275,-0.531790406,-1.248010465,-0.007520183,-0.009224327,0.038238115,0.349647495,0.048637687,0.166842306,-0.050997897,1.203294355,1.236107628,-0.02331923,-1.391803372,-1.589058122,-1.649469495,1.595674852,0.163816076,-1.726119046,-0.210824248,0.319123962,0.363487176,-0.16894663,0.031418095,5,0
11092024,1.116187793,0.610153414,0.557886391,-0.358891828,-0.494756177,0.819424176,0.820477245,-0.341145145,0.451718667,1.033878384,0.219039236,0.019382414,-0.081715087,-0.223104765,0.286516673,-1.598313375,0.23394132,0.061083566,-0.772831517,0.07313238,0.051819263,-0.015289644,0.136292856,-0.159784328,-1.938877275,-0.511540179,-1.248010465,-0.006336945,-0.008818553,0.011484976,0.335765442,0.024673516,0.075130121,-0.235078103,1.596965042,1.554664711,-0.023230676,-1.391803372,-1.951282058,-1.889717957,1.802660039,0.199462772,-1.726119046,-0.210824248,0.084726005,0.095774486,-0.340648979,0.042921664,5,0
11102023,-0.651753974,-0.151481165,0.59444857,0.062135099,0.130032828,1.247574555,1.247473714,-0.232164918,0.099615333,0.92885328,-0.268845305,-0.27969306,-0.224667884,-0.98275789,-0.183287529,-1.598313375,-0.236506874,-0.055583764,0.282094038,-0.033730701,-0.048605746,-0.033533527,0.206577438,-0.181744079,0.204015757,-0.026715652,0.247221054,0.036177118,0.002621977,-0.009764423,-0.05130092,-0.160002294,-0.123004749,-0.051778981,-0.446851876,-0.519002276,-0.01435658,0.852572389,-0.937481735,-1.078509233,1.079326947,0.912853888,-0.448655264,-0.210824248,-0.360467669,-0.338360363,-0.644591078,0.06483558,6,0
12132023,-5.228670655,-4.584486272,-1.826892678,-0.678121748,-0.897551058,-1.366899114,-1.378404037,-0.335570406,-0.368495967,-2.462054751,-2.025558519,-1.022255745,-0.299180707,-2.031377877,-0.321320666,-1.598313375,-0.042830155,-0.119554432,-0.047159827,-0.131752457,-0.148908297,-0.101293326,0.14597427,-0.044267841,-0.226773108,-0.049982202,0.247221054,-0.011070785,-0.028105642,-0.01175778,-1.785894775,-2.214289142,-0.269171132,-0.880089652,-8.9963809,-3.883362667,-0.02637697,1.976467467,1.348322358,1.454490196,-1.496306636,-2.730208133,1.515334755,-0.210824248,-1.145118508,-1.233515755,-0.233827799,-0.108730074,D,0
12132024,-1.196678258,-1.919399692,-1.857265814,-1.936293328,-2.347612969,-1.366899114,-1.378404037,-0.335570406,-0.203722234,-1.348640749,-1.775936544,-1.004789158,-0.279431752,-2.131244013,-0.229407701,-1.598313375,0.028561309,-0.098635284,-0.107965147,0.034376087,0.015382659,-0.202840144,0.445228215,-0.143839316,-1.938877275,-0.085826135,0.389100724,-0.006336945,-0.008818553,-0.006844712,8.074581107,7.575416645,-0.928662051,-2.060144765,1.213899999,0.711858708,-0.022338516,1.806468455,-1.957161865,-1.892735139,1.805211703,0.391797107,-1.726119046,-0.210824248,-0.834940601,1.61774602,1.891656697,-0.09576585,9,0
12182023,0.743769322,0.49433497,0.706839218,-0.098171523,-0.23523751,1.142877447,1.143199526,0.102123211,0.634242567,1.178212998,0.853267741,0.685575723,0.017011428,1.06216856,0.154680729,-0.096922635,0.04710605,-0.090317406,0.101491804,-0.047363548,-0.064316477,-0.415534734,-0.593178798,-0.54172458,-1.938877275,-0.263150602,-0.266045982,-0.017386408,-0.1390076,-0.009777439,-0.540521553,-0.475974821,-0.163306134,-0.749446801,1.003661907,0.758038637,-0.030568984,-0.770508679,-1.750976101,-1.763596176,1.694898004,0.596131411,-1.726119046,-0.210824248,-0.422966406,-0.360827897,-0.233827799,-0.108730074,6,0
12202023,-0.540239867,-0.395652291,-0.500581405,-0.825149542,-0.821969789,0.162873771,0.163054377,-0.334681916,-0.144602634,-0.188593071,-0.019654238,-0.118462025,-0.181439474,-0.406551344,-0.115071891,-1.598313375,0.099453625,-0.034697155,-0.470109552,-0.032489395,-0.052844742,-0.016539894,0.084777198,-0.067867286,-0.367568411,-0.082112864,-0.078388004,-0.006336945,-0.002997755,-0.007021343,0.191653444,-0.008813113,0.003008955,0.261746969,1.059910033,0.87080788,-0.022076149,-0.883454209,-1.1056523,-1.242626299,1.230798112,-0.380846823,-0.636777459,-0.210824248,-0.154995587,-0.142122982,0.038348505,0.01806349,6,0
12202024,-0.387808013,-0.278296062,-0.424759015,-0.613185138,-0.684222408,0.162873771,0.163054377,-0.333710739,-0.126691562,-0.142847072,0.017882049,-0.106208084,-0.159666582,-0.316542354,-0.105058428,-1.598313375,0.120249929,-0.016844623,-0.559332483,-0.012151061,-0.032782284,-0.047816281,0.07650438,-0.027163012,-0.286460694,-0.086918112,0.225901753,-0.006336945,-0.008818553,-0.004426531,0.412946019,0.136307864,-0.011256652,-0.072789561,0.826720365,0.580328859,-0.02272542,-1.004947591,-0.954601891,-1.095718827,1.095315495,-0.338088884,-0.526029052,-0.210824248,-0.031727239,-0.008402982,-0.171103859,0.031559827,6,0
12332023,-1.049314715,-1.237938645,-0.773041779,-0.642126944,-0.626695028,-0.667819743,-0.672513895,-0.338884965,-0.15098657,-0.672012626,-0.318116067,-0.626813888,-0.040743676,0.770054273,-0.243798776,-0.406225741,-0.106882508,-0.046904008,-0.352571449,-0.048203465,-0.06813532,-0.035307478,0.081955782,-0.084572069,-0.606195904,-0.078490011,0.850807194,-0.004759516,0.009601605,-0.008733372,-0.016197966,-0.085784441,0.09618233,0.358099287,-0.673902803,-0.436316118,-0.020258243,-0.973721154,-0.274560731,-0.341279567,0.373597468,-0.657643588,-0.787649365,-0.210824248,-0.104304379,-0.088015787,-0.850353043,0.081700454,6,0
12332024,-1.020229759,-1.236453822,-0.779326113,-0.633808455,-0.61763149,-0.667819743,-0.672513895,-0.338884965,-0.148948633,-0.689447692,-0.291708182,-0.619264703,-0.028899664,0.829570503,-0.244460077,-0.395294385,0.028514609,-0.050846549,-0.356330324,-0.050629631,-0.070571623,-0.037518905,0.085383131,-0.077464048,-0.606195904,-0.078827742,0.588705866,-0.006336945,-0.008818553,-0.008863083,-0.138778727,-0.183345038,0.112069307,0.311874518,-0.693386396,-0.471857553,-0.019977622,-1.036769453,-0.24059932,-0.30041382,0.333370075,-0.714295944,-0.778719133,-0.210824248,-0.156717168,-0.118514319,-1.068907836,0.105165912,6,0
