compyear,cash and cash equivalents,current assets,total assets,current liabilities,total liabilities,common shares,share capital,total capital,retained earnings,total shareholder's equity,net operating income,cogs,operating income,operating expense,working capital,r&d expense,expected credit impairment (loss) profit - operating expense,operating profit,finance costs,net income before tax,net income before interest and tax,cash flow from operations,cash flow from investing activities,cash flow from financing activities,long-term and short-term borrowings,net liabilities,Tobins Q,financial leverage,operating leverage,interest coverage ratio,roa - comprehensive income,roe - comprehensive income,cash flow adequacy ratio,cash reinvestment ratio,current ratio,quick ratio,interest expense ratio,interest expense ratio (B),total liabilities/total net worth,debt ratio,net worth/assets,long-term funding ratio (A),debt dependency ratio,contingent liabilities to net worth,operating profit/paid-in capital ratio,pre-tax net profit/paid-in capital ratio,retention ratio,dividend payout ratio,tcri,cluster
81052014,1.102512526,0.576042678,0.546696166,0.544158421,0.32926631,1.042010389,1.042651289,0.592909316,-0.211797618,0.746245825,0.977344504,0.894497092,-0.105963945,0.690077194,-0.008845115,0.88563206,0.028561309,-0.1257889,0.447642553,-0.053227775,-0.065167345,0.170710555,0.040251944,-0.266097674,0.095634567,-0.262760372,-1.039270233,-0.01620188,-0.008818553,-0.010166734,-0.157764994,-0.194335296,0.004505916,0.66266019,-0.178466084,0.19183259,-0.002284662,-0.431059233,-0.407367752,-0.497541126,0.526390429,-0.683672943,-0.483593885,-0.210824248,-0.490064358,-0.369166374,2.062557674,-0.108730074,5,1
81052015,1.345041821,0.72235474,0.677487119,0.698669664,0.560306504,1.042010389,1.042651289,0.592909316,-0.14787505,0.788606939,0.827081185,0.680434043,-0.040796096,0.718795472,0.024124387,0.928710848,0.028561309,-0.033055425,0.257634415,0.021339139,0.005806158,0.116023579,-0.172385323,0.477256713,0.411478716,-0.254274358,-0.266045982,0.000365419,0.13494214,-0.00889312,-0.047678295,-0.104643685,0.294808852,0.385952858,-0.24456854,0.229701221,-0.020540398,-0.566934294,-0.076900529,-0.10407549,0.13857481,-0.351968923,-0.043781193,-0.210824248,-0.287428496,-0.15746335,1.647596772,-0.07963485,5,1
81052016,1.289823036,0.701163755,0.643464392,0.587152542,0.441988404,1.042010389,1.042651289,0.592909316,-0.065475298,0.829177298,0.882851412,0.708131612,0.049038194,0.789474464,0.073845278,0.954728433,0.028561309,0.048109981,0.409238089,0.066617964,0.053070175,0.205559947,-0.087798436,-0.353305353,0.115334765,-0.342983205,-0.810316313,-0.004759516,0.037452933,-0.008782258,-0.024688056,-0.082001307,0.341776541,0.628894651,-0.029691957,0.366196146,-0.020611602,-0.388577666,-0.322906381,-0.398202435,0.429446482,-0.62890862,-0.508692824,-0.210824248,-0.056167193,-0.033731866,1.479928369,-0.069158969,5,1
81052017,1.27824667,0.681233088,0.798670566,0.574420676,0.706661723,1.042010389,1.042651289,0.592909316,0.005100492,0.877318998,0.931059074,0.740508101,0.115148913,0.79452801,0.062839294,0.950973584,0.028561309,0.119537351,0.488780833,0.095244582,0.082949414,0.176038922,-0.622937184,0.810331053,0.566361353,-0.115785313,-0.442546465,-0.005548199,0.016752785,-0.008741213,0.061894502,0.006613565,0.064862068,0.395256427,-0.039934326,0.32462595,-0.019930519,-0.327273294,0.061849587,0.063987625,-0.030141688,-0.910542,0.120842051,-0.210824248,0.145442312,0.043486517,1.455226701,-0.067640075,5,1
81052018,0.947930974,0.487645187,0.688475057,0.381605814,0.515291184,1.042010389,1.042651289,0.592909316,-0.018702802,0.850359619,0.759177793,0.604495518,-0.053740908,0.789552757,0.004395687,0.910139665,1.305975818,-0.067868093,0.34308246,-0.092187382,-0.097117811,-0.093604082,-0.00551553,-0.225167099,0.461700171,-0.059117428,-1.336547475,-0.048253855,15.23414786,-0.010558259,-0.525201797,-0.49431858,0.036004139,-0.244796443,0.022428107,0.277652833,-0.030824922,-0.367827818,-0.227532526,-0.28504354,0.31821138,-0.947203541,-0.015894186,-0.210824248,-0.387729837,-0.459728232,-0.233827799,-0.108730074,5,1
81052019,0.802844051,0.471155547,0.619377539,0.465306131,0.378019971,1.042010389,1.042651289,0.592909316,-0.045259788,0.834529182,0.674911964,0.541234093,-0.122000298,0.767268365,-0.044790752,0.895183799,-0.866449676,-0.197996736,0.191974154,-0.101606969,-0.111557547,-0.026303111,0.410501318,-0.446467601,0.086118919,-0.158986674,-0.999553345,-0.010281645,-0.122926103,-0.01073375,-0.521103438,-0.483531212,-0.018825924,-0.071238575,-0.202250466,0.024379662,-0.026926275,-0.590900304,-0.433819874,-0.528622262,0.556584747,-0.98011065,-0.553412863,-0.210824248,-0.618269678,-0.474349717,-0.233827799,-0.225237983,6,1
81052020,0.95048232,0.486091626,0.57399153,0.573997262,0.440540339,1.042010389,1.042651289,0.592909316,-0.20736723,0.705645085,0.524000641,0.439339228,-0.235576486,0.611906349,-0.091460746,0.869403875,1.086012175,-0.361849413,-0.076930091,-0.590326096,-0.638992895,-0.052709036,0.042252643,0.192220114,0.26963802,-0.164439409,-0.999553345,-0.00830909,-0.049446584,-0.027263942,-1.274926415,-1.010112236,-0.054279097,-0.159494962,-0.433269853,-0.045353626,-0.023790582,-0.797992738,-0.175921656,-0.223145155,0.257008194,-1.041075109,-0.197017395,-0.210824248,-0.911623112,-1.294061293,-0.233827799,-0.108730074,6,1
81052021,0.963867186,0.601998037,0.628425122,0.534016516,0.525942311,1.042010389,1.042651289,0.592909316,-0.193059042,0.727703058,0.787100816,0.654730379,-0.08816327,0.525583974,0.01722653,0.761171257,-0.13710486,-0.041896849,0.040494846,-0.054857638,-0.072348869,-0.015339014,0.047511862,-0.055646481,0.241869966,-0.165260725,-0.884196709,-0.001211212,0.133533289,-0.009882856,-0.228272275,-0.249169393,-0.094844206,-0.043176061,-0.103466484,0.053369289,-0.014519487,-0.825969496,-0.060186206,-0.083591834,0.118108308,-0.848106026,-0.254970365,-0.210824248,-0.312943171,-0.373923769,2.062557674,-0.108730074,6,1
81052022,1.035043367,0.620350879,0.633829707,0.488651481,0.455876337,1.042010389,1.042651289,0.592909316,-0.103285552,0.801090575,0.797467724,0.65143843,-0.055516136,0.513285496,0.05561656,0.732408587,-0.11698905,-0.002966236,0.116691835,0.055471874,0.038152956,0.026101492,0.030762996,-0.05515844,0.212460526,-0.19992644,-1.204855666,-0.004759516,0.047776201,-0.007764491,0.209092794,0.12577093,-0.057225784,0.0673578,0.035187894,0.179603333,-0.021933022,-0.716968254,-0.266148433,-0.331188324,0.363674124,-0.759589786,-0.350168179,-0.210824248,-0.201424364,-0.064039058,1.462913809,-0.068112201,6,1
81102014,0.795567414,0.348160601,0.857726176,0.403781673,0.860101504,1.143940469,1.144258732,-0.271165712,0.157269169,0.80576177,0.768642766,0.596485567,-0.015295209,-0.031286032,-0.092938761,0.341228731,0.028561309,0.116708806,1.029926398,0.135533927,0.140013778,0.45363746,-0.366286399,-0.285407023,0.935173305,0.161701908,-0.156560177,0.000365419,0.020992734,-0.009608728,0.325679578,0.478960834,-0.000420127,0.572821371,-0.300500019,0.137154635,-0.016472216,0.875945949,0.417702232,0.489276226,-0.465097358,-1.047528337,0.765847981,-0.210824248,0.077561612,0.087134505,1.238197928,-0.054471835,6,1
