compyear,cash and cash equivalents,current assets,total assets,current liabilities,total liabilities,common shares,share capital,total capital,retained earnings,total shareholder's equity,net operating income,cogs,operating income,operating expense,working capital,r&d expense,expected credit impairment (loss) profit - operating expense,operating profit,finance costs,net income before tax,net income before interest and tax,cash flow from operations,cash flow from investing activities,cash flow from financing activities,long-term and short-term borrowings,net liabilities,Tobins Q,financial leverage,operating leverage,interest coverage ratio,roa - comprehensive income,roe - comprehensive income,cash flow adequacy ratio,cash reinvestment ratio,current ratio,quick ratio,interest expense ratio,interest expense ratio (B),total liabilities/total net worth,debt ratio,net worth/assets,long-term funding ratio (A),debt dependency ratio,contingent liabilities to net worth,operating profit/paid-in capital ratio,pre-tax net profit/paid-in capital ratio,retention ratio,dividend payout ratio,tcri,cluster
49062023,1.097420425,1.174482636,1.059116334,1.012483359,0.852598987,0.959170686,0.971591488,1.278453246,0.165111292,1.252861214,1.500685084,1.518216268,0.229716717,1.338084747,0.364821829,1.595802047,0.900327094,0.024659362,0.936411761,0.088488161,0.089310188,0.284942428,0.078710759,-0.162027652,0.372354021,-0.204896903,-0.504925454,0.005487862,-0.003694405,-0.009675195,-0.428167692,-0.418562999,-0.029062514,0.711296701,-0.03058249,0.241702606,-0.013944328,-0.212683934,-0.155634666,-0.198857663,0.232925126,0.275849238,-0.436426738,-0.210824248,-0.099915028,0.062539608,-1.101375665,0.111720386,6,1
49302023,1.067905831,0.847981192,0.583878803,0.4124002,0.562475162,-0.842617754,-0.848800382,0.351508214,-0.087292665,0.596688253,0.498004814,0.28537405,-0.029767314,0.546326136,0.31366533,0.894834564,0.201590892,0.018925453,0.956664057,0.089051429,0.090715685,0.0673993,-0.05883249,-0.125114302,-1.043679744,-0.759236047,-3.141348052,0.007457399,-0.013213907,-0.009696868,0.109867631,0.120509216,0.091072791,0.214437631,0.609913916,0.815597062,-0.014543583,-0.307454587,0.162574868,0.185248179,-0.152990707,0.768062393,-1.641380526,-0.210824248,0.903600649,1.766006082,-0.290606715,0.039518869,5,1
49302024,0.987018204,0.735134922,0.639628874,0.482109074,0.612659244,-0.842617754,-0.848800382,0.351508214,-0.083178539,0.653167593,0.599158554,0.404947102,-0.03420369,0.601302963,0.162072492,0.933418265,-0.535886178,0.002408893,0.867693738,0.03952594,0.038142565,0.273555344,-0.420461348,-0.06840834,-0.516240659,-0.609076029,-3.222076409,-0.006336945,-0.008818553,-0.009823775,0.310567062,0.311883742,0.233760212,1.113221327,0.265621276,0.553298664,-0.012821437,-0.409652283,0.178634782,0.204450302,-0.172529858,0.805104858,-1.240355368,-0.210824248,0.661513892,1.129777239,-0.178182409,0.032025347,5,1
49602023,1.345276597,0.919899286,0.735993235,0.600198903,0.504965032,1.248069446,1.247966377,-0.052850354,0.232211484,0.943403655,0.709191296,0.616371972,-0.194827073,0.59066804,0.304362315,1.071618429,0.028561309,-0.267880473,0.839773595,-0.405972862,-0.395326224,-0.430518453,0.000451588,-0.073183701,0.561880894,-0.159069075,-0.412044331,-0.013438613,-0.054545248,-0.011521646,-0.827007365,-0.67845449,-0.11093174,-0.54579388,0.358794118,0.412891966,-0.027906643,0.548753211,-0.357406662,-0.439265561,0.469600443,-0.22148466,0.060048548,-0.210824248,-0.659394138,-0.843677771,-0.233827799,-0.108730074,8,1
49672023,0.255311455,0.804283355,0.348344379,0.90701026,0.660174591,-1.005648414,-1.01335153,0.14261889,-0.162194224,-0.309633357,1.14644478,1.084560153,-0.02752086,0.668678598,-0.057829749,0.26001927,0.035384679,-0.005635623,0.36481047,-0.010527248,-0.024310983,-0.227308667,0.063074214,0.358674518,0.260382086,-0.046116129,-0.003384343,-0.001999617,-0.004692283,-0.00956612,0.020305305,0.286929959,-0.18150514,-1.364021436,-0.575176968,-0.447879006,-0.016309436,-0.690887742,1.474124976,1.560461055,-1.613631671,0.709406433,0.620840807,-0.210824248,0.648829545,0.567387134,2.062557674,-0.108730074,6,1
49672024,0.967520159,0.916425909,0.4628545,0.868030957,0.615099742,-0.757123562,-0.762559507,0.485211822,-0.090179122,0.218950417,1.289003073,1.228658217,0.135249719,1.095621682,0.108130611,0.335432095,-0.027022398,0.039028709,0.279449516,0.064516462,0.049019961,0.057775282,0.10623289,0.194319346,0.065937959,-0.228001959,-0.442546465,-0.006336945,-0.008818553,-0.008359947,0.280401804,0.709860832,-0.137769604,1.344583151,-0.239038635,-0.555014738,-0.020873783,-0.883454209,0.723777214,0.837268356,-0.829591993,1.078414581,-0.168845918,-0.210824248,1.10805929,1.351632662,2.062557674,-0.108730074,5,1
52582023,0.769743503,0.558452244,0.173978064,0.37867101,0.209471539,-0.471160316,-0.47436236,-0.002839541,0.047753205,0.179572777,0.608348342,0.254268416,0.214283531,1.015787334,0.056958446,1.313001872,0.60078709,0.157858833,0.207844755,0.174362885,0.157287247,0.087968357,0.05821099,-0.047981299,0.077186499,-0.165454144,1.502311242,-0.006731341,-0.001509929,-0.006421186,1.363081475,1.474324432,0.071921132,1.835366822,0.161664636,0.240697141,-0.022230845,-0.543360684,0.075758649,0.080676747,-0.046994042,0.901951961,-0.121024759,-0.210824248,2.161631372,2.123160635,1.483172667,-0.069358849,5,1
52582024,0.687496517,0.681636313,0.318663159,0.519171728,0.336531474,-0.404248312,-0.406988264,0.010950159,0.118100393,0.320426856,0.58829754,0.23787933,0.199238553,1.158014529,0.093149374,1.45374385,-4.120045787,0.083197264,0.277554621,0.130158601,0.114227495,-0.078392739,0.012098705,0.05023901,0.199321829,-0.123452473,0.702805508,-0.006336945,-0.008818553,-0.007482493,0.835176148,0.81070588,-0.03869029,-0.374568764,0.084607837,0.149869571,-0.021588788,-0.474901572,0.117871724,0.131716679,-0.098642969,0.99582627,-0.020727799,-0.210824248,1.247355773,1.594261157,0.497776175,-0.010235055,5,1
55192023,0.558025667,1.11858332,0.683764033,0.44036081,0.784426809,0.391894686,0.392709376,-0.313404024,0.213912537,0.485131753,0.174134732,-0.096105321,-0.011551168,-0.036287292,0.678937011,-1.598313375,0.028561309,0.121244299,-0.826479616,0.125613254,0.103977701,0.014968021,0.035353731,-0.143693162,0.806577699,0.12019995,-0.028044568,-0.001211212,-0.012904753,0.022502445,0.366074155,0.593815521,-0.121795354,-0.084393334,1.008633063,-0.743378237,-0.023297384,1.405609662,0.689127934,0.798687468,-0.788792929,2.211364568,0.872056262,-0.210824248,0.667738265,0.627287895,-0.168021692,0.031357345,6,1
55192024,0.563801419,1.153010018,0.717285013,0.340009645,0.801540019,0.391894686,0.392709376,-0.313404024,0.263817701,0.543810127,0.426878903,0.169082965,0.017644897,0.037713077,0.781492205,-1.598313375,0.028561309,0.145555861,-0.825230854,0.150324748,0.128555511,-0.058527992,0.055895727,0.015925147,0.870430626,0.153055052,0.137805198,-0.006336945,-0.008818553,0.025925831,0.361017441,0.589642753,-0.114328424,-0.424357399,1.234940108,-0.634377021,-0.023301039,1.216518717,0.645307011,0.74988488,-0.737324847,2.274157263,0.922800893,-0.210824248,0.801299662,0.751069997,-0.653722589,0.065538068,6,1
