compyear,cash and cash equivalents,current assets,total assets,current liabilities,total liabilities,common shares,share capital,total capital,retained earnings,total shareholder's equity,net operating income,cogs,operating income,operating expense,working capital,r&d expense,expected credit impairment (loss) profit - operating expense,operating profit,finance costs,net income before tax,net income before interest and tax,cash flow from operations,cash flow from investing activities,cash flow from financing activities,long-term and short-term borrowings,net liabilities,Tobins Q,financial leverage,operating leverage,interest coverage ratio,roa - comprehensive income,roe - comprehensive income,cash flow adequacy ratio,cash reinvestment ratio,current ratio,quick ratio,interest expense ratio,interest expense ratio (B),total liabilities/total net worth,debt ratio,net worth/assets,long-term funding ratio (A),debt dependency ratio,contingent liabilities to net worth,operating profit/paid-in capital ratio,pre-tax net profit/paid-in capital ratio,retention ratio,dividend payout ratio,tcri,cluster
11042014,-0.405968835,-0.096896449,0.967793358,0.175402001,0.289413792,1.303302102,1.302936574,-0.329676364,0.843728116,1.404795868,0.376012372,0.243454533,-0.162092708,-0.160687845,-0.199460817,0.12738433,0.028561309,-0.031499255,-0.204057165,0.2221328,0.201545266,0.020879109,0.004642382,-0.084072002,0.055811059,-0.067868623,-0.130139395,-0.00515385,0.004865005,0.000287367,0.80001287,0.356584712,-0.059660906,-0.161722791,-0.626236565,-0.045172054,-0.023104299,-0.825969496,-1.242450828,-1.368001189,1.344939195,-0.135032218,-0.917488833,-0.210824248,-0.312173879,0.164657023,0.338185901,-0.000552604,5,0
11092015,0.000438778,-0.186196449,0.346274031,-0.334211697,-0.011032312,0.912206345,0.913134967,-0.335259101,-0.011147412,0.630029761,0.171755017,0.057361785,-0.18117183,-0.124083512,-0.113819997,-1.598313375,0.028561309,-0.055908708,0.17793979,-0.071880325,-0.087672538,-0.000683636,0.088006801,-0.164979748,0.140889778,-0.049980879,-1.039270233,0.022415238,0.118613188,-0.010363854,-0.548661702,-0.487762549,-0.072456318,0.066551931,0.404608207,0.298568181,-0.036532491,0.004202184,-0.810003455,-0.947074536,0.956438595,-0.600998614,-0.339056736,-0.210824248,-0.347607839,-0.423260842,-1.560068756,0.639338011,6,0
11092016,0.076242742,-0.056327914,0.346957421,-0.159625861,0.007867241,0.912206345,0.913134967,-0.335259101,-0.000428549,0.621938878,0.171036395,0.022731513,-0.141129898,-0.166199421,-0.103151626,-1.598313375,0.028561309,-0.008053661,0.263499241,-0.02912207,-0.044284093,0.013505792,0.005689553,-0.051502584,0.139863906,-0.068301178,-1.079643575,-0.003182339,0.011136721,-0.009667334,-0.377223039,-0.379171112,0.002375355,0.147783037,0.245159173,0.257579672,-0.015817743,0.173472634,-0.771351201,-0.905897259,0.917662015,-0.535980926,-0.33508168,-0.210824248,-0.188293057,-0.278558201,1.10032046,-0.046214734,6,0
11092017,-0.244862826,-0.000739567,0.340718077,-0.321934727,-0.16263568,0.867240955,0.868238166,-0.335190276,0.061496999,0.683736546,0.319877708,0.088329582,-0.03477415,-0.081545452,-0.056551566,-1.598313375,0.028561309,0.100249084,0.267474892,0.110198182,0.094263405,0.010848226,0.080301877,-0.213325745,-0.067393817,-0.08161265,-0.884196709,-0.005942564,-0.00780671,-0.007691925,0.585355647,0.266754844,0.058802649,0.146964665,0.673124977,0.636107213,-0.021612669,-0.011137651,-1.101914278,-1.239255939,1.227710446,-0.427928531,-0.678261813,-0.210824248,0.195455683,0.190430002,1.753294787,-0.086445928,5,0
11092018,-0.151992976,0.341451566,0.476789535,0.14790269,0.053137288,0.821527046,0.822578025,-0.335127524,0.182267188,0.79091467,0.476527539,0.144558778,0.127905034,-0.02415666,-0.0030047,-1.598313375,0.028561309,0.271111154,0.219254588,0.27861015,0.260930241,0.067574066,0.012225826,-0.14795394,-0.143580545,-0.119338413,-1.336547475,-0.006731341,-0.012801789,-0.005065835,1.178256611,0.660088055,0.158264058,0.33705667,0.269086685,0.489852936,-0.022519307,-0.268700735,-0.896597395,-1.036960889,1.040628024,-0.278301318,-0.842035331,-0.210824248,0.83567089,0.777131648,0.757234971,-0.02578039,5,0
11092019,0.195997829,0.520262246,0.551773531,0.232675779,0.073342549,0.821527046,0.822578025,-0.3350425,0.274064399,0.890365045,0.588042352,0.236341729,0.200892696,0.167148302,0.084191582,-1.598313375,0.028561309,0.329690246,0.046294225,0.342172025,0.322331762,0.222181725,-0.106278092,-0.209760346,-0.359602615,-0.267422227,-0.846962964,-0.007125754,-0.013317047,-0.001755162,1.102869028,0.620976147,0.358427675,0.800324327,0.404119138,0.6195698,-0.022896121,-0.665251603,-0.979966266,-1.120739113,1.118517433,-0.113253963,-1.15543393,-0.210824248,1.043768241,0.982880873,0.521348515,-0.011655755,5,0
11092020,0.908344182,0.633501527,0.593757966,0.20463366,-0.004814598,0.821527046,0.822578025,-0.334956707,0.356373244,0.976545036,0.566483957,0.206539293,0.201814623,0.117965154,0.181866565,-1.598313375,0.286509681,0.336412503,-0.766540644,0.347887528,0.324890153,0.22342603,0.153986072,-0.267636877,-1.938877275,-0.427799849,-1.079643575,-0.007520183,-0.013317047,0.04382337,1.268504756,0.695118214,0.367610741,0.625436587,0.653976238,0.808690702,-0.023322851,-1.314953382,-1.196648408,-1.326626015,1.307428207,0.032741354,-1.726119046,-0.210824248,1.067636542,1.001296839,0.105905505,0.013807989,5,0
11092021,1.018289139,0.653612452,0.586573758,0.06560394,-0.138378247,0.821527046,0.822578025,-0.334690463,0.403430268,1.004126555,0.545734159,0.230936038,0.13122731,0.007560362,0.239961095,-1.598313375,0.092753985,0.271638593,-1.281516189,0.294057377,0.271102719,0.089161321,0.110050876,-0.240694233,-1.938877275,-0.458436215,-0.960478236,-0.007520183,-0.011877063,0.200410136,0.844303275,0.3763002,0.273778947,-0.039257766,0.949060268,1.035687574,-0.023365834,-1.391803372,-1.423842081,-1.521842074,1.482983336,0.125774224,-1.726119046,-0.210824248,0.837731788,0.827375122,-0.161540217,0.03093197,5,0
11092022,1.051698461,0.632026787,0.57232537,0.018750214,-0.146453336,0.819424176,0.820477245,-0.341219999,0.388469954,0.987482165,0.442335468,0.226312234,-0.035882819,-0.227366386,0.233519884,-1.598313375,0.032455825,0.1110446,-1.048546292,0.128963122,0.107127789,0.135418207,-0.023041542,-0.238686993,-1.938877275,-0.517557052,-1.621308784,-0.007520183,-0.008717204,0.051223041,0.232808767,-0.015866824,0.197509587,0.146964665,1.000800383,1.049953684,-0.023315603,-1.391803372,-1.417301714,-1.516081689,1.477856616,0.103666299,-1.726119046,-0.210824248,0.265307611,0.285066124,-0.425684951,0.048815655,5,0
11102014,-0.582540518,-0.432660011,0.431115165,-1.080664823,-0.743467737,1.247574555,1.247473714,-0.234124858,0.056308885,0.912908843,-0.328227737,-0.327877402,-0.223087813,-1.526111038,-0.10827884,-1.598313375,0.028561309,-0.04083927,-0.850096008,-0.045657488,-0.066714005,-0.060288193,0.128707687,-0.055735542,-1.938877275,-0.135772165,0.204305575,-0.007125754,-0.016747004,-0.004079198,-0.085010753,-0.224621849,-0.03473479,-0.211879564,1.45404925,1.180533275,-0.022932859,-1.102267789,-2.151416826,-1.999903196,1.894973937,1.513416581,-1.726119046,-0.210824248,-0.327353396,-0.365544412,-0.747677507,0.072982139,6,0
