Date,Open,High,Low,Price
04/27/2023,101.4,101.8,101.28,101.5
04/26/2023,101.82,101.89,101.01,101.47
04/25/2023,101.26,101.95,101.2,101.86
04/24/2023,101.72,101.91,101.32,101.35
04/21/2023,101.8,102.12,101.65,101.82
04/20/2023,101.99,102.13,101.63,101.84
04/19/2023,101.71,102.23,101.66,101.97
04/18/2023,102.1,102.14,101.64,101.75
04/17/2023,101.57,102.23,101.53,102.1
04/14/2023,101,101.75,100.79,101.55
04/13/2023,101.47,101.6,100.85,101.01
04/12/2023,102.13,102.16,101.45,101.5
04/11/2023,102.52,102.52,102.01,102.2
04/10/2023,102.1,102.81,101.99,102.58
04/07/2023,101.94,102.3,101.88,102.09
04/06/2023,101.83,102.14,101.76,101.82
04/05/2023,101.52,101.99,101.42,101.85
04/04/2023,102.01,102.28,101.46,101.59
04/03/2023,102.63,103.06,101.98,102.09
03/31/2023,102.2,102.63,102.05,102.51
03/30/2023,102.62,102.78,102.07,102.14
03/29/2023,102.49,102.79,102.37,102.64
03/28/2023,102.75,102.76,102.38,102.43
03/27/2023,103.08,103.23,102.83,102.86
03/24/2023,102.6,103.36,102.5,103.12
03/23/2023,102.5,102.64,101.92,102.53
03/22/2023,103.2,103.27,102.07,102.35
03/21/2023,103.31,103.52,103,103.26
03/20/2023,103.66,103.96,103.28,103.28
03/17/2023,104.41,104.45,103.69,103.71
03/16/2023,104.62,104.74,104.2,104.42
03/15/2023,103.74,105.1,103.44,104.65
03/14/2023,103.67,104.05,103.5,103.6
03/13/2023,104.17,104.39,103.48,103.6
03/10/2023,105.13,105.35,104.04,104.58
03/09/2023,105.62,105.73,105.15,105.31
03/08/2023,105.67,105.88,105.37,105.66
03/07/2023,104.3,105.65,104.12,105.62
03/06/2023,104.53,104.69,104.16,104.35
03/03/2023,104.94,105,104.49,104.52
03/02/2023,104.39,105.18,104.39,105.03
03/01/2023,105.04,105.09,104.09,104.48
02/28/2023,104.63,105,104.42,104.87
02/27/2023,105.23,105.36,104.55,104.67
02/24/2023,104.56,105.32,104.42,105.21
02/23/2023,104.5,104.78,104.31,104.6
02/22/2023,104.13,104.6,104.01,104.59
02/21/2023,103.91,104.26,103.77,104.18
02/20/2023,103.91,104.09,103.76,103.88
02/17/2023,104.2,104.67,103.84,103.86
02/16/2023,103.88,104.23,103.53,103.86
02/15/2023,103.21,104.11,103.16,103.92
02/14/2023,103.22,103.52,102.59,103.23
02/13/2023,103.58,103.84,103.24,103.35
02/10/2023,103.26,103.68,102.9,103.63
02/09/2023,103.43,103.55,102.64,103.22
02/08/2023,103.27,103.52,103,103.41
02/07/2023,103.54,103.96,103,103.43
02/06/2023,102.99,103.77,103.01,103.62
02/03/2023,101.83,103.01,101.55,102.92
02/02/2023,100.85,101.91,100.82,101.75
02/01/2023,102.1,102.19,101.04,101.22
01/31/2023,102.19,102.61,102.01,102.1
01/30/2023,101.92,102.31,101.66,102.28
01/27/2023,101.72,102.19,101.68,101.93
01/26/2023,101.58,102.18,101.5,101.84
01/25/2023,102.01,102.12,101.58,101.64
01/24/2023,101.99,102.43,101.72,101.92
01/23/2023,101.99,102.28,101.59,102.14
01/20/2023,102.08,102.55,101.94,102.01
01/19/2023,102.38,102.48,101.99,102.06
01/18/2023,102.47,102.9,101.53,102.36
01/17/2023,102.32,102.56,101.94,102.39
01/16/2023,102.18,102.56,101.77,102.2
01/13/2023,102.21,102.65,101.99,102.2
01/12/2023,103.06,103.29,102.08,102.25
01/11/2023,103.22,103.48,103.11,103.19
01/10/2023,103.29,103.49,103.03,103.24
01/09/2023,103.91,103.94,102.94,103
01/06/2023,105.05,105.63,103.87,103.88
01/05/2023,104.07,105.27,103.99,105.04
01/04/2023,104.58,104.6,103.83,104.25
01/03/2023,103.66,104.86,103.47,104.52
01/01/2023,103.49,104.1,103.39,103.49
12/30/2022,103.95,104.1,103.39,103.52
12/29/2022,104.37,104.45,103.78,103.84
12/28/2022,104.33,104.56,103.85,104.46
12/27/2022,104.12,104.4,103.89,104.18
12/23/2022,104.39,104.54,104.12,104.33
12/22/2022,104.22,104.6,103.75,104.43
12/21/2022,103.95,104.38,103.85,104.16
12/20/2022,104.73,104.79,103.78,103.97
12/19/2022,104.84,104.93,104.13,104.72
12/16/2022,104.45,104.84,104.21,104.7
12/15/2022,103.67,104.88,103.54,104.56
12/14/2022,104.07,104.16,103.45,103.77
12/13/2022,104.99,105.1,103.59,103.98
12/12/2022,104.93,105.25,104.67,105.13
12/09/2022,104.86,105.14,104.48,104.81
12/08/2022,105.2,105.43,104.72,104.77
