Date,Open,High,Low,Price
04/27/2023,"33,381.66","33,859.75","33,374.65","33,826.16"
04/26/2023,"33,596.34","33,645.83","33,235.85","33,301.87"
04/25/2023,"33,828.34","33,875.49","33,525.39","33,530.83"
04/24/2023,"33,805.04","33,891.15","33,726.09","33,875.40"
04/21/2023,"33,793.60","33,858.83","33,688.57","33,808.96"
04/20/2023,"33,740.60","33,875.39","33,677.74","33,786.62"
04/19/2023,"33,889.83","33,957.98","33,814.65","33,897.01"
04/18/2023,"33,965.16","34,018.62","33,791.89","33,976.63"
04/17/2023,"33,930.46","33,991.23","33,796.91","33,987.18"
04/14/2023,"33,981.71","34,082.94","33,730.85","33,886.47"
04/13/2023,"33,668.97","34,054.99","33,605.17","34,029.69"
04/12/2023,"33,764.21","33,895.43","33,593.32","33,646.50"
04/11/2023,"33,586.75","33,781.29","33,586.75","33,684.79"
04/10/2023,"33,425.25","33,590.24","33,343.43","33,586.52"
04/06/2023,"33,420.96","33,525.96","33,325.37","33,485.29"
04/05/2023,"33,394.60","33,543.84","33,376.27","33,482.72"
04/04/2023,"33,594.79","33,634.72","33,275.62","33,402.38"
04/03/2023,"33,245.78","33,632.90","33,245.78","33,601.15"
03/31/2023,"32,901.96","33,291.00","32,901.96","33,274.15"
03/30/2023,"32,807.43","32,905.80","32,682.87","32,859.03"
03/29/2023,"32,566.54","32,728.04","32,539.94","32,717.60"
03/28/2023,"32,434.85","32,551.01","32,295.50","32,394.25"
03/27/2023,"32,276.72","32,564.00","32,276.72","32,432.08"
03/24/2023,"32,038.22","32,257.24","31,805.18","32,237.53"
03/23/2023,"32,101.49","32,511.49","31,864.74","32,105.25"
03/22/2023,"32,570.19","32,761.89","32,020.46","32,030.11"
03/21/2023,"32,420.71","32,593.68","32,346.12","32,560.60"
03/20/2023,"31,872.33","32,280.07","31,872.33","32,244.58"
03/17/2023,"32,217.32","32,217.32","31,728.70","31,861.98"
03/16/2023,"31,827.65","32,281.61","31,571.46","32,246.55"
03/15/2023,"31,759.87","31,906.47","31,429.82","31,874.57"
03/14/2023,"32,055.29","32,306.59","31,805.40","32,155.40"
03/13/2023,"31,819.93","32,240.35","31,624.87","31,819.14"
03/10/2023,"32,185.14","32,422.10","31,783.41","31,909.64"
03/09/2023,"32,876.83","32,990.46","32,190.60","32,254.86"
03/08/2023,"32,872.08","32,903.44","32,612.70","32,798.40"
03/07/2023,"33,428.31","33,453.25","32,838.21","32,856.46"
03/06/2023,"33,425.32","33,572.22","33,383.47","33,431.44"
03/03/2023,"33,076.33","33,405.82","33,008.41","33,390.97"
03/02/2023,"32,780.97","33,083.45","32,665.85","33,003.57"
03/01/2023,"32,656.37","32,746.15","32,500.71","32,661.84"
02/28/2023,"32,873.47","32,873.47","32,636.43","32,656.70"
02/27/2023,"32,906.16","33,189.28","32,814.18","32,889.09"
02/24/2023,"32,999.19","32,999.19","32,643.48","32,816.92"
02/23/2023,"33,175.39","33,272.40","32,795.67","33,153.91"
02/22/2023,"33,169.33","33,245.97","32,948.27","33,045.09"
02/21/2023,"33,699.69","33,699.69","33,115.74","33,129.59"
02/17/2023,"33,677.01","33,846.64","33,517.73","33,826.69"
02/16/2023,"33,992.09","34,041.16","33,686.59","33,696.85"
02/15/2023,"34,008.63","34,130.49","33,833.10","34,128.05"
02/14/2023,"34,194.09","34,331.47","33,827.45","34,089.27"
02/13/2023,"33,887.39","34,249.60","33,887.39","34,245.93"
02/10/2023,"33,671.54","33,897.31","33,591.99","33,869.27"
02/09/2023,"34,105.61","34,252.57","33,607.13","33,699.88"
02/08/2023,"34,132.90","34,161.65","33,899.79","33,949.01"
02/07/2023,"33,769.78","34,240.00","33,634.10","34,156.69"
02/06/2023,"33,874.44","33,962.84","33,683.58","33,891.02"
02/03/2023,"33,926.30","34,179.58","33,813.86","33,926.01"
02/02/2023,"34,129.30","34,145.14","33,814.78","34,053.94"
02/01/2023,"34,039.60","34,334.70","33,581.42","34,092.96"
01/31/2023,"33,803.56","34,095.23","33,664.91","34,086.04"
01/30/2023,"33,909.21","34,055.29","33,695.18","33,717.09"
01/27/2023,"33,952.93","34,164.33","33,830.85","33,978.08"
01/26/2023,"33,771.66","33,953.79","33,635.60","33,949.41"
01/25/2023,"33,538.36","33,773.09","33,273.21","33,743.84"
01/24/2023,"33,444.72","33,782.92","33,310.56","33,733.96"
01/23/2023,"33,439.56","33,782.88","33,316.25","33,629.56"
01/20/2023,"33,073.46","33,381.95","32,948.93","33,375.49"
01/19/2023,"33,171.35","33,227.49","32,982.05","33,044.56"
01/18/2023,"33,948.49","34,016.53","33,269.90","33,296.96"
01/17/2023,"34,222.32","34,269.97","33,860.67","33,910.85"
01/13/2023,"34,075.31","34,342.32","33,915.49","34,302.61"
01/12/2023,"34,047.86","34,292.67","33,792.10","34,189.97"
01/11/2023,"33,754.03","33,974.69","33,711.04","33,973.01"
01/10/2023,"33,516.43","33,726.54","33,421.80","33,704.10"
01/09/2023,"33,664.39","33,935.11","33,487.66","33,517.65"
01/06/2023,"33,055.30","33,710.66","32,997.39","33,630.61"
01/05/2023,"33,191.72","33,191.72","32,812.33","32,930.08"
01/04/2023,"33,165.14","33,409.10","33,033.48","33,269.77"
01/03/2023,"33,148.90","33,387.52","32,850.57","33,136.37"
12/30/2022,"33,121.61","33,152.55","32,847.82","33,147.25"
12/29/2022,"33,021.43","33,293.42","33,020.35","33,220.80"
12/28/2022,"33,264.76","33,379.55","32,869.15","32,875.71"
12/27/2022,"33,224.23","33,387.72","33,069.58","33,241.56"
12/23/2022,"32,961.06","33,226.14","32,814.02","33,203.93"
12/22/2022,"33,233.35","33,233.35","32,573.43","33,027.49"
12/21/2022,"33,028.09","33,437.84","33,028.09","33,376.48"
12/20/2022,"32,735.24","32,992.23","32,649.45","32,849.74"
12/19/2022,"32,921.45","33,038.94","32,581.97","32,757.54"
12/16/2022,"33,166.46","33,166.46","32,654.59","32,920.46"
12/15/2022,"33,773.00","33,773.00","33,016.16","33,202.22"
12/14/2022,"34,086.07","34,395.65","33,704.17","33,966.35"
12/13/2022,"34,268.44","34,712.28","33,890.88","34,108.64"
12/12/2022,"33,519.50","34,005.04","33,519.50","34,005.04"
12/09/2022,"33,746.71","33,844.63","33,462.65","33,476.46"
12/08/2022,"33,695.97","33,899.17","33,642.46","33,781.48"
12/07/2022,"33,556.40","33,774.27","33,503.67","33,597.92"
12/06/2022,"33,936.87","34,006.63","33,418.59","33,596.34"
12/05/2022,"34,335.73","34,335.73","33,846.81","33,947.10"
12/02/2022,"34,265.45","34,483.21","34,039.73","34,429.88"
12/01/2022,"34,533.59","34,595.51","34,129.35","34,395.01"
11/30/2022,"33,795.43","34,589.77","33,583.77","34,589.77"
11/29/2022,"33,847.80","33,933.91","33,662.45","33,852.53"
11/28/2022,"34,275.91","34,303.88","33,799.35","33,849.46"
11/25/2022,"34,213.04","34,386.51","34,199.57","34,347.03"
11/23/2022,"34,091.57","34,262.07","34,004.64","34,194.06"
11/22/2022,"33,810.05","34,115.70","33,810.05","34,098.10"
11/21/2022,"33,760.30","33,864.59","33,559.18","33,700.28"
11/18/2022,"33,606.59","33,827.94","33,540.64","33,745.69"
11/17/2022,"33,329.27","33,616.02","33,239.75","33,546.32"
11/16/2022,"33,554.93","33,682.83","33,516.99","33,553.83"
11/15/2022,"33,755.94","33,987.06","33,320.20","33,592.92"
11/14/2022,"33,662.05","33,964.30","33,533.96","33,536.70"
11/11/2022,"33,797.75","33,817.96","33,394.43","33,747.86"
11/10/2022,"33,263.91","33,727.73","33,167.82","33,715.37"
11/09/2022,"33,004.47","33,065.11","32,478.87","32,513.94"
11/08/2022,"32,934.56","33,355.39","32,831.46","33,160.83"
11/07/2022,"32,454.10","32,895.59","32,424.99","32,827.00"
11/04/2022,"32,265.01","32,611.52","31,938.92","32,403.22"
11/03/2022,"31,985.05","32,185.71","31,727.05","32,001.25"
11/02/2022,"32,576.28","33,071.93","32,139.77","32,147.76"
11/01/2022,"32,862.79","32,975.48","32,485.23","32,653.20"
10/31/2022,"32,754.27","32,883.86","32,586.93","32,732.95"
10/28/2022,"32,204.31","32,889.81","32,158.38","32,861.80"
10/27/2022,"32,062.14","32,388.42","31,993.21","32,033.28"
10/26/2022,"31,738.44","32,172.42","31,738.44","31,839.11"
10/25/2022,"31,463.65","31,876.15","31,423.53","31,836.74"
10/24/2022,"31,187.32","31,603.63","31,161.41","31,499.62"
10/21/2022,"30,291.18","31,119.27","30,206.28","31,082.56"
10/20/2022,"30,411.92","30,822.96","30,265.20","30,333.59"
10/19/2022,"30,439.04","30,662.11","30,226.90","30,423.81"
10/18/2022,"30,697.52","30,837.90","30,301.83","30,523.80"
10/17/2022,"30,059.58","30,311.95","29,997.62","30,185.82"
10/14/2022,"30,192.21","30,428.82","29,614.30","29,634.83"
10/13/2022,"28,755.83","30,168.54","28,660.94","30,038.72"
10/12/2022,"29,233.06","29,455.12","29,136.03","29,210.85"
10/11/2022,"29,085.20","29,608.42","29,074.23","29,239.19"
10/10/2022,"29,419.09","29,485.82","29,010.41","29,202.88"
10/07/2022,"29,685.27","29,685.27","29,142.66","29,296.79"
10/06/2022,"30,206.13","30,329.61","29,859.34","29,926.94"
10/05/2022,"30,078.36","30,454.46","29,886.44","30,273.87"
10/04/2022,"29,826.67","30,325.05","29,826.67","30,316.32"
10/03/2022,"28,855.25","29,647.79","28,855.25","29,490.89"
09/30/2022,"29,123.03","29,355.78","28,715.85","28,725.51"
09/29/2022,"29,513.73","29,513.73","28,997.34","29,225.61"
09/28/2022,"29,198.92","29,811.78","29,114.97","29,683.74"
09/27/2022,"29,419.88","29,659.12","28,958.22","29,134.99"
09/26/2022,"29,536.84","29,630.77","29,161.12","29,260.81"
09/23/2022,"29,955.65","29,955.65","29,250.47","29,590.41"
09/22/2022,"30,204.52","30,302.28","29,994.53","30,076.68"
09/21/2022,"30,819.39","31,020.79","30,181.99","30,183.78"
09/20/2022,"30,888.53","30,888.53","30,465.91","30,706.23"
09/19/2022,"30,722.86","31,026.89","30,559.37","31,019.68"
09/16/2022,"30,866.61","30,866.61","30,550.08","30,822.42"
09/15/2022,"31,124.68","31,277.69","30,882.08","30,961.82"
09/14/2022,"31,141.02","31,276.82","30,885.02","31,135.09"
