Date;BTC;LTC;XRP;DOGE;DASH;ETH;ETC;ZEC;BCH;BSV
2018-11-07;6530,1401367188;54,1888999939;0,5357069969;0,0036370000;166,4479980469;217,1829986572;9,6374902725;129,8289947510;617,2550048828;nan
2018-11-08;6453,7202148438;52,3734016418;0,4935080111;0,0033839999;164,2879943848;212,2310028076;9,4383897781;135,8320007324;574,4340209961;nan
2018-11-09;6385,6201171875;51,8959999084;0,5006679893;0,0031399999;159,9909973145;210,0740051270;9,4547300339;134,1779937744;544,4190063477;68,7508010864
2018-11-10;6409,2202148438;52,4017982483;0,5066980124;0,0032850001;161,7200012207;212,5330047607;9,4615001678;130,4129943848;556,4990234375;87,0558013916
2018-11-11;6411,2700195312;51,3648986816;0,5059130192;0,0031620001;160,1049957275;211,3399963379;9,2631196976;129,3390045166;533,3410034180;113,4670028687
2018-11-12;6371,2700195312;50,6482009888;0,5171650052;0,0030640000;163,0460052490;210,4179992676;9,1943397522;133,0670013428;516,3070068359;112,0640029907
2018-11-13;6359,4902343750;49,6966018677;0,5101119876;0,0029450001;161,1730041504;206,8260040283;9,0816602707;126,9820022583;512,4099731445;208,4019927979
2018-11-14;5738,3500976562;43,6108016968;0,4743719995;0,0026950000;143,6540069580;181,3970031738;7,9478101730;111,0599975586;439,3080139160;174,8079986572
2018-11-15;5648,0297851562;43,9482994080;0,4817079902;0,0027999999;138,4429931641;180,8059997559;7,7225799561;109,9110031128;421,3200073242;93,7027969360
2018-11-16;5575,5498046875;42,4589004517;0,4716089964;0,0027460000;137,0559997559;175,1770019531;7,4596700668;109,6490020752;388,8200073242;122,9670028687
2018-11-17;5554,3300781250;41,9289016724;0,4916540086;0,0025950000;132,6269989014;174,0010070801;7,3856201172;111,3629989624;387,7489929199;130,4799957275
2018-11-18;5623,5400390625;42,3278999329;0,5104730129;0,0026430001;132,7769927979;177,0670013428;7,4488902092;113,0289993286;386,2520141602;106,2239990234
